TEAMID,CBBdata,API
287,TCU,TCU Horned Frogs
289,Temple,Temple Owls
325,UT Martin,Tenn-Martin Skyhawks
290,Tennessee State,Tennessee St Tigers
291,Tennessee Tech,Tennessee Tech Golden Eagles
292,Tennessee,Tennessee Volunteers
293,Texas A&M,Texas A&M Aggies
294,Texas A&M-Corpus Christi,Texas A&M-CC Islanders
76,East Texas A&M,Texas A&M-Commerce Lions
295,Texas,Texas Longhorns
296,Texas Southern,Texas Southern Tigers
297,Texas State,Texas State Bobcats
298,Texas Tech,Texas Tech Red Raiders
299,The Citadel,The Citadel Bulldogs
300,Toledo,Toledo Rockets
301,Towson,Towson Tigers
302,Troy,Troy Trojans
303,Tulane,Tulane Green Wave
304,Tulsa,Tulsa Golden Hurricane
305,UAB,UAB Blazers
307,UC Davis,UC Davis Aggies
308,UC Irvine,UC Irvine Anteaters
309,UC Riverside,UC Riverside Highlanders
310,UC San Diego,UC San Diego Tritons
311,UC Santa Barbara,UC Santa Barbara Gauchos
312,UCF,UCF Knights
313,UCLA,UCLA Bruins
314,UConn,UConn Huskies
315,UIC,UIC Flames
316,UL Monroe,UL Monroe Warhawks
318,UMass Lowell,UMass Lowell River Hawks
317,UMBC,UMBC Retrievers
130,Kansas City,UMKC Kangaroos
319,UNC Asheville,UNC Asheville Bulldogs
320,UNC Greensboro,UNC Greensboro Spartans
321,UNC Wilmington,UNC Wilmington Seahawks
322,UNLV,UNLV Rebels
323,USC,USC Trojans
326,UT Rio Grande Valley,UT Rio Grande Valley Vaqueros
324,UT Arlington,UT-Arlington Mavericks
329,Utah State,Utah State Aggies
330,Utah Tech,Utah Tech Trailblazers
331,Utah,Utah Utes
332,Utah Valley,Utah Valley Wolverines
327,UTEP,UTEP Miners
328,UTSA,UTSA Roadrunners
335,Valparaiso,Valparaiso Beacons
336,Vanderbilt,Vanderbilt Commodores
333,VCU,VCU Rams
337,Vermont,Vermont Catamounts
338,Villanova,Villanova Wildcats
339,Virginia,Virginia Cavaliers
340,Virginia Tech,Virginia Tech Hokies
334,VMI,VMI Keydets
341,Wagner,Wagner Seahawks
342,Wake Forest,Wake Forest Demon Deacons
343,Washington,Washington Huskies
344,Washington State,Washington St Cougars
345,Weber State,Weber State Wildcats
346,West Georgia,West Georgia Wolves
347,West Virginia,West Virginia Mountaineers
348,Western Carolina,Western Carolina Catamounts
349,Western Illinois,Western Illinois Leathernecks
350,Western Kentucky,Western Kentucky Hilltoppers
351,Western Michigan,Western Michigan Broncos
352,Wichita State,Wichita St Shockers
353,William & Mary,William & Mary Tribe
354,Winthrop,Winthrop Eagles
355,Wisconsin,Wisconsin Badgers
356,Wofford,Wofford Terriers
357,Wright State,Wright St Raiders
358,Wyoming,Wyoming Cowboys
359,Xavier,Xavier Musketeers
360,Yale,Yale Bulldogs
361,Youngstown State,Youngstown St Penguins
362,Queens University,
365,Southern Indiana,
366,Lindenwood,
367,Centenary (LA),
492,IU Columbus,
493,Oglethorpe,
494,UNT Dallas,
495,LaGrange,
497,Erskine,
498,Old Westbury,
500,Washington College (MD),
501,Georgian Court,
503,Piedmont,
505,Cheyney (PA),
506,Alice Lloyd College,
507,Morris College,
509,Defiance,
510,Notre Dame (Md),
511,Cleary University,
512,Hannibal-LaGrange,
514,Dickinson (PA),
515,Mount Olive,
516,Mid-Atlantic Christian,
517,Columbia International,
520,College Of Biblical Studies,
521,Trinity Baptist,
522,William Peace,
523,Marywood,
524,Vermont State - Lyndon,
528,New College (FL),
529,Lynchburg,
530,York College Nebraska,
533,Bob Jones,
535,Pfeiffer,
537,Louisiana Christian,
538,Randolph College,
539,Arkansas Baptist,
540,Bethel (TN),
541,Mid-America Christian,
542,Jamestown,
549,Park University Gilbert,
550,Paul Quinn,
554,Dallas,
555,Fisk,
557,Champion Christian,
559,Howard Payne,
560,William Carey,
562,North Central (MN),
564,New Mexico Highlands,
565,Hawai'i Hilo,
566,Northwest University,
567,Northwest Indian,
569,Jessup University,
570,Life Pacific,
571,San Francisco State,
572,Colorado College,
573,La Verne,
577,Toccoa Falls,
580,Ohio Christian,
581,Boyce,
583,Texas A&M-San Antonio,
584,Virginia-Lynchburg,
585,Massachusetts-Boston,
588,Earlham College,
589,Lewis & Clark,
590,Kentucky Christian,
592,Bethesda University,
593,SUNY-Oneonta,
594,Oakwood,
595,University of Health Sciences & Pharmacy,
597,Eureka,
598,Mississippi University For Women,
601,Holy Cross College (IN),
602,Bryan (TN),
605,Evergreen State,
606,Siena Heights,
608,Franklin,
609,Coastal Georgia,
610,Miami (OH)-Hamilton,
611,Ohio Wesleyan,
613,Ozark Christian,
614,Kansas Christian,
615,McMurry,
620,Manor College,
621,Brescia,
626,Bluefield University,
628,Mount Marty College,
629,Menlo,
631,Valley Forge,
632,Voorhees,
634,Vermont State - Johnson,
640,District Of Columbia,
642,Christendom,
644,Mary Baldwin,
645,Gwynedd-Mercy,
646,Carolina University,
649,Rhodes,
652,Colorado Christian,
655,Occidental,
657,Truett-McConnell,
659,Tusculum,
662,Westminster (UT),
664,Nobel,
665,North Greenville,
667,Dakota Wesleyan,
668,Ecclesia,
670,La Sierra,
671,John Jay College,
675,Misericordia,
677,Saint Joseph's Long Island,
678,Central State (OH),
679,Capital,
680,Haskell,
681,Trinity Christian (IL),
682,Gallaudet,
683,Southern Virginia,
686,Spring Hill,
687,Embry-Riddle (AZ),
688,East-West University,
691,Southern Wesleyan,
694,Mitchell College,
695,Saint Elizabeth,
697,Mansfield,
703,Minnesota Crookston,
706,Lane College,
707,Kentucky State,
711,St. Ambrose,
712,Rosemont,
716,Justice College,
717,Midway University,
718,SUNY-Maritime,
719,Texas Lutheran,
720,Northern New Mexico,
721,Hawai'i Pacific,
725,Averett,
729,Central Penn,
730,Elizabeth City State,
731,Bethany (WV),
733,Regent,
735,Maine-Augusta,
736,Benedictine University (IL),
740,Penn State-Shenango,
741,Brevard,
742,Arlington Baptist,
743,Aquinas,
747,Trinity (FL),
748,Lehman College,
752,Thomas (ME),
753,Sarah Lawrence,
754,Lincoln University (CA),
758,Harris-Stowe State,
759,Apprentice School,
760,Holy Family University,
763,Colorado-Colorado Springs,
764,Montana Tech,
765,Columbia College (SC),
766,Cumberland (KY),
776,Saint Mary of the Woods College,
777,Crown College,
778,West Virginia Wesleyan,
780,Whittier,
781,Willamette,
783,Southwestern Adventist,
784,Tennessee Wesleyan,
786,Milligan,
788,Franciscan University,
791,Brewton-Parker,
795,Rust,
797,Fort Lauderdale,
801,Blackburn,
804,Southwestern Christian,
808,Johnson & Wales (RI),
810,Regis,
816,Elms College,
819,Mobile,
820,Fort Valley State,
821,Benedictine (AZ),
822,Eastern Oregon,
825,Kean,
828,Bowie State,
829,Morehouse,
830,Washington Adventist,
838,Washington and Lee,
845,Warner Pacific,
846,Jarvis Christian,
847,Lourdes University,
850,Doane,
851,Blue Mountain,
853,Fresno Pacific,
855,Oakland City,
856,WVU Tech,
858,UC Merced,
862,Penn State (Brandywine),
864,John Brown,
866,Molloy,
868,Worcester State,
870,Science & Arts (OK),
874,St. Mary's (MD),
881,Johnson & Wales (NC),
885,Loras,
886,Tiffin,
888,Reinhardt,
889,Pacific Union,
891,Roberts Wesleyan,
898,Pacific Lutheran,
902,Chaminade,
903,Pittsburgh - Greensburg,
911,Angelo State,
915,Missouri Baptist,
918,Warren Wilson,
921,Stanton,
927,Coe,
928,Berea,
931,George Fox,
940,Mayville State,
953,Penn State-New Kensington,
954,Greensboro College,
956,Florida Memorial,
961,Northwood (MI),
969,St. Xavier (IL),
977,Virginia St,
979,Miami (OH)-Middletown,
981,Brandeis,
994,Puget Sound,
995,Clinton College,
999,Cincinnati Clermont,
1001,Dakota State,
1007,Huston-Tillotson,
1020,Tennessee Southern,
1022,Ottawa (AZ),
1030,St. John Fisher,
1033,West Coast Baptist,
1034,Montana-Western,
1039,Peru State,
1047,Georgia College,
1051,Concord,
1055,Williams Baptist,
1066,Salve Regina,
1068,Shenandoah,
1072,Oklahoma Christian,
1074,Regis (CO),
1079,Culver-Stockton,
1086,Hanover,
1093,MIT,
1098,Penn State-Behrend,
1104,Webster,
1118,Converse University,
1119,Redlands,
1122,Caltech,
1126,Farmingdale State,
1129,Evangel,
1133,Tougaloo,
1135,Spurgeon College,
1141,Simpson University (CA),
1147,Belmont Abbey,
1152,Adrian,
1165,Olivet,
1169,Midwestern State,
1176,Bluefield State,
1178,Thiel,
1182,UC Santa Cruz,
1198,Arkansas Tech,
1201,Caldwell,
1202,Geneva,
1214,Widener,
1222,Saint Leo,
1225,Alaska Anchorage,
1234,Humboldt State,
1236,Huntingdon College (AL),
1239,Pensacola Christian College,
1241,Dominican (IL),
1244,Concordia-Nebraska,
