Game,Game Time,Opening Odds Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Current Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
William & Mary Tribe vs. Stony Brook Seawolves,Dec 31 02:00PM ET,2025-12-30 20:04:48 UTC,Stony Brook Seawolves,3,10.5,13.35,11.5,0.4679574367889025,10.0,-0.052426256256661,-0.0553884052733824,1.6,14.7,12.0,11.8,14.8,0.1571456487729965,495,446,0.176056338028169,-0.0260045343771866,0.0,0.011,0.12,0.14,0.138234959517824,3,157.5,154.6438758934425,156.5,156.0,157.5,2.6,155.0,156.0,154.287751786885,150.07999999999998,0.4849567874384211,0.5150432125615789,-0.0388527363711027,-0.0087663112479449,-0.0482671734733465,-0.0098024427631623,1,1,0,1
Monmouth Hawks vs. Campbell Fighting Camels,Dec 31 02:00PM ET,2025-12-30 20:04:48 UTC,Campbell Fighting Camels,3,1.0,4.35,2.5,0.452000757288194,1.0,-0.0718087665213298,-0.0512733324418667,2.3,6.4,3.0,5.7,1.6,0.3903764520736032,110,-103,0.4848162769511084,-0.1170127104879731,0.0,0.065,0.28,0.4,0.295936627196098,1,152.0,154.1724220333725,153.0,155.0,152.0,1.0,155.0,155.0,153.344844066745,153.24,0.508554996783795,0.4743585679133448,-0.0152545270257288,-0.049450955896179,-0.0386312790045451,-0.0215291363876175,1,1,1,0
Monmouth Hawks vs. Campbell Fighting Camels,Dec 31 02:00PM ET,2025-12-30 20:04:48 UTC,Monmouth Hawks,3,-1.0,-4.35,-2.5,0.547999242711806,-1.0,0.0241897189022821,0.0128117939803281,2.3,-6.4,-3.0,-5.7,-1.6,0.6096235479263967,-130,-117,0.5151837230488916,0.0704530410139543,0.0,0.065,0.72,0.6,0.704063372803902,1,152.0,154.1724220333725,153.0,155.0,152.0,1.0,155.0,155.0,153.344844066745,153.24,0.508554996783795,0.4743585679133448,-0.0152545270257288,-0.049450955896179,-0.0386312790045451,-0.0215291363876175,1,1,1,0
Old Dominion Monarchs vs. Appalachian St Mountaineers,Dec 31 02:00PM ET,2025-12-30 20:04:48 UTC,Old Dominion Monarchs,1,-2.5,-3.8,-3.0,0.5173678180739623,-1.5,-0.0064417057355615,0.0041863031668097,0.3,-3.4,-4.0,-3.8,-3.8,0.6017460317460317,-130,-142,0.5634920634920635,0.0149691722418994,0.0,0.004,0.64,0.64,0.647577081162558,1,137.5,134.5,136.5,136.0,137.5,2.0,133.0,136.0,136.707692794965,132.87,0.4829017855647749,0.5170982144352251,-0.0409077382447489,-0.0067113093742987,-0.0386312790045451,-0.0215291363876175,1,1,0,1
Tulsa Golden Hurricane vs. Rice Owls,Dec 31 02:00PM ET,2025-12-30 20:04:48 UTC,Rice Owls,3,13.0,15.4,14.0,0.4679574367889025,13.5,-0.0535736636895663,-0.0234233896587948,2.2,15.8,15.0,13.1,18.5,0.116874563143267,710,650,0.127906976744186,-0.0164587701900663,0.0,0.011,0.1099999999999999,0.09,0.105842149542348,3,151.5,154.047005179591,152.5,152.5,151.5,1.5,156.0,155.0,153.094010359182,152.99,0.5150432125615789,0.4849567874384211,-0.0087663112479449,-0.0388527363711027,-0.0215311004784688,-0.0215311004784688,1,1,1,0
La Salle Explorers vs. George Mason Patriots,Dec 31 02:00PM ET,2025-12-30 20:04:48 UTC,La Salle Explorers,1,9.5,7.65,9.0,0.5173678180739623,7.5,-0.0007044710826642,-0.0192307692307692,1.9,6.3,9.0,5.2,9.0,0.2258403361344537,260,375,0.2016806722689075,0.0153140203449801,0.0,0.038,0.25,0.23,0.304359025795637,2,137.0,135.62,136.5,138.0,137.0,3.2,132.0,137.0,139.407513017244,134.24,0.4844431069004852,0.5000014788054651,-0.0393664169090386,-0.0238080450040587,-0.0370879935779836,-0.0215296216730037,1,1,0,0
Virginia Tech Hokies vs. Virginia Cavaliers,Dec 31 02:00PM ET,2025-12-30 18:57:13 UTC,Virginia Cavaliers,3,-5.5,-3.9,-5.0,0.4839657729027816,-4.5,-0.0398437509067422,-0.0238095238095238,2.9,-3.8,-4.0,-2.9,-9.3,0.6418240620957308,-200,-225,0.6636481241914617,-0.0504836302119613,0.0,0.015,0.64,0.62,0.609534494868039,2,152.5,153.375,153.0,153.5,152.5,2.3,154.0,156.0,150.431433277875,152.75,0.50777918595249,0.49222081404751,-0.0160303378570337,-0.0315887097620138,-0.0238095238095238,-0.0238095238095238,0,1,0,0
Holy Cross Crusaders vs. Bucknell Bison,Dec 31 02:00PM ET,2025-12-30 20:50:52 UTC,Bucknell Bison,1,1.5,0.35,1.0,0.5173678180739623,0.0,-0.0086985326369382,-0.0360823938498199,1.3,0.6,-1.0,0.1,2.2,0.4871237497649887,-110,-100,0.4782608695652174,-0.0128762502350112,0.0,0.011,0.48,0.5,0.49598662996476,1,136.5,140.485,138.0,140.75,136.5,1.9,137.0,141.0,141.168054150955,139.97,0.5256375066113239,0.4743624933886761,0.0064067373805546,-0.0539393934037767,-0.0036401251674245,-0.0583517124604869,0,1,1,0
Holy Cross Crusaders vs. Bucknell Bison,Dec 31 02:00PM ET,2025-12-30 20:50:52 UTC,Holy Cross Crusaders,1,-1.5,-0.35,-1.0,0.4826321819260377,0.0,-0.0354401072305888,-0.0023791446117186,1.3,-0.6,1.0,-0.1,-2.2,0.5128762502350113,-110,-120,0.5217391304347826,-0.0325782952195341,0.0,0.011,0.52,0.5,0.50401337003524,1,136.5,140.485,138.0,140.75,136.5,1.9,137.0,141.0,141.168054150955,139.97,0.5256375066113239,0.4743624933886761,0.0064067373805546,-0.0539393934037767,-0.0036401251674245,-0.0583517124604869,0,1,1,0
Pennsylvania Quakers vs. NJIT Highlanders,Dec 31 02:00PM ET,2025-12-30 20:50:52 UTC,NJIT Highlanders,3,14.5,13.6,14.0,0.5160342270972185,14.0,-0.0077752967123053,-0.0192307692307692,2.4,14.2,13.0,12.8,17.9,0.1087939910649128,800,867,0.0983400402414486,0.0053548376257594,0.0,0.006,0.1099999999999999,0.12,0.119247941888377,3,148.5,149.5,149.0,147.0,148.5,1.4,150.0,149.0,150.452570845246,147.28,0.5075229437220032,0.4924770562779967,-0.0162865800875205,-0.0313324675315271,-0.0140054833005037,-0.0440919084236615,0,1,0,0
Syracuse Orange vs. Clemson Tigers,Dec 31 02:00PM ET,2025-12-30 18:45:02 UTC,Syracuse Orange,2,1.5,1.55,1.5,0.5,1.5,-0.0238095238095238,-0.0238095238095238,0.9,1.0,2.0,1.1,2.9,0.4615652179702912,105,105,0.4675324675324675,-0.0262396600784892,-0.027234171279568,0.022,0.4599999999999999,0.42,0.455597968408115,1,142.5,138.574599571609,141.0,141.5,142.5,2.7,137.0,142.0,140.149199143218,136.1,0.4743624933886761,0.5256375066113239,-0.0494470304208477,0.0018279828018,-0.0409077382447489,-0.0067113093742987,0,1,0,1
Syracuse Orange vs. Clemson Tigers,Dec 31 02:00PM ET,2025-12-30 18:45:02 UTC,Clemson Tigers,2,-1.5,-1.55,-1.5,0.5,-1.5,-0.0238095238095238,-0.0238095238095238,0.9,-1.0,-2.0,-1.1,-2.9,0.5384347820297088,-126,-125,0.5324675324675325,-0.0171207735258467,-0.0178662465105066,0.022,0.54,0.58,0.544402031591885,1,142.5,138.574599571609,141.0,141.5,142.5,2.7,137.0,142.0,140.149199143218,136.1,0.4743624933886761,0.5256375066113239,-0.0494470304208477,0.0018279828018,-0.0409077382447489,-0.0067113093742987,0,1,0,1
