Market Line,True Line,Over_Probability,Under_Probability,Push_Probability
110.0,196,0.9996686143,0.00031365513,6.924748e-05
110.0,197,0.9997157696,0.00026887608,5.995151e-05
110.0,198,0.9997566353,0.00023009229,5.180950999999999e-05
110.0,199,0.9997919838,0.0001965641,4.46925e-05
110.5,100,0.3660827678,0.6278897968,0.0
110.5,101,0.3798134214,0.6140928345,0.0
110.5,102,0.3937169995,0.6001301848,0.0
110.5,103,0.40777686160000004,0.5860187519,0.0
110.5,104,0.4219757087,0.571776071,0.0
110.5,105,0.4362956478,0.5574202431999999,0.0
110.5,106,0.450718259,0.5429698658000001,0.0
110.5,107,0.4652246673,0.5284439598,0.0
110.5,108,0.4797956173,0.5138618939,0.0
110.5,109,0.4944115499,0.49924330679999995,0.0
110.5,110,0.5090526818,0.48460802719999996,0.0
