spread,result,cover_prob,push_prob,not_cover_prob
-59,-44,-0.023813652,0.032784086,0.95824548
-59,-43,-0.020613746,0.028232426,0.964148894
-59,-42,-0.017634726,0.024030146,0.969574434
-59,-41,-0.014897971,0.020200051,0.974497869
-59,-40,-0.012419596,0.016757557,0.978904482
-59,-39,-0.010209408,0.013709481,0.982790445
-59,-38,-0.008270244,0.011053363,0.986163519
-59,-37,-0.006597786,0.008777432,0.989042923
-59,-36,-0.005180915,0.006861286,0.991458343
-59,-35,-0.004002578,0.005277211,0.993448156
-59,-34,-0.003041062,0.003992,0.995057062
-59,-33,-0.002271533,0.002969062,0.996333409
-59,-32,-0.001667649,0.002170567,0.997326515
-59,-31,-0.001203066,0.001559406,0.998084254
-59,-30,-0.000852714,0.001100794,0.998651126
-59,-29,-0.000593738,7.63E-04,0.999066903
-59,-28,-0.000406098,5.20E-04,0.999365882
-59,-27,-0.000272834,3.48E-04,0.999576663
-59,-26,-0.000180053,2.29E-04,0.999722362
-59,-25,-0.000116724,1.48E-04,0.999821116
-59,-24,-7.43E-05,9.38E-05,0.999886759
-59,-23,-4.65E-05,5.85E-05,0.999929556
-59,-22,-2.86E-05,3.58E-05,0.99995693
-59,-21,-1.73E-05,2.16E-05,0.999974112
-59,-20,-1.03E-05,1.28E-05,0.999984699
-59,-19,-6.01E-06,7.45E-06,0.999991103
-59,-18,-3.46E-06,4.27E-06,0.99999491
-59,-17,-1.96E-06,2.41E-06,0.999997133
-59,-16,-1.09E-06,1.34E-06,0.99999841
-59,-15,-6.00E-07,7.34E-07,0.999999132
-59,-14,-3.24E-07,3.96E-07,0.999999533
-59,-13,-1.73E-07,2.10E-07,0.999999752
-59,-12,-9.09E-08,1.10E-07,0.99999987
-59,-11,-4.71E-08,5.70E-08,0.999999933
-59,-10,-2.41E-08,2.91E-08,0.999999966
-59,-9,-1.21E-08,1.46E-08,0.999999983
-59,-8,-6.04E-09,7.24E-09,0.999999992
-59,-7,-2.96E-09,3.54E-09,0.999999996
-59,-6,-1.43E-09,1.71E-09,0.999999998
-59,-5,-6.84E-10,8.14E-10,0.999999999
-59,-4,-3.22E-10,3.82E-10,1
-59,-3,-1.50E-10,1.77E-10,1
-59,-2,-6.85E-11,8.09E-11,1
-59,-1,-3.10E-11,3.65E-11,1
-59,1,-6.06E-12,7.11E-12,1
-59,2,-2.63E-12,3.07E-12,1
-59,3,-1.12E-12,1.31E-12,1
-59,4,-4.74E-13,5.51E-13,1
-59,5,-1.97E-13,2.29E-13,1
-59,6,-8.09E-14,9.37E-14,1
-59,7,-3.27E-14,3.78E-14,1
-59,8,-1.31E-14,1.51E-14,1
-59,9,-5.15E-15,5.92E-15,1
-59,10,-2.00E-15,2.30E-15,1
-59,11,-7.66E-16,8.78E-16,1
-59,12,-2.89E-16,3.31E-16,1
-59,13,-1.08E-16,1.23E-16,1
-59,14,-3.96E-17,4.51E-17,1
-59,15,-1.43E-17,1.63E-17,1
-59,16,-5.11E-18,5.80E-18,1
-59,17,-1.80E-18,2.04E-18,1
-59,18,-6.21E-19,7.03E-19,1
-59,19,-2.12E-19,2.39E-19,1
-59,20,-7.09E-20,7.99E-20,1
-59,21,-2.34E-20,2.63E-20,1
-59,22,-7.57E-21,8.50E-21,1
-59,23,-2.41E-21,2.70E-21,1
-59,24,-7.55E-22,8.45E-22,1
-59,25,-2.32E-22,2.59E-22,1
-59,26,-7.02E-23,7.83E-23,1
-59,27,-2.08E-23,2.32E-23,1
-59,28,-6.08E-24,6.76E-24,1
-59,29,-1.74E-24,1.93E-24,1
-59,30,-4.90E-25,5.43E-25,1
-59,31,-1.35E-25,1.50E-25,1
-59,32,-3.68E-26,4.07E-26,1
-59,33,-9.82E-27,1.08E-26,1
-59,34,-2.58E-27,2.84E-27,1
-59,35,-6.65E-28,7.32E-28,1
-59,36,-1.69E-28,1.85E-28,1
-59,37,-4.21E-29,4.62E-29,1
-59,38,-1.04E-29,1.13E-29,1
-59,39,-2.51E-30,2.74E-30,1
-59,40,-5.98E-31,6.53E-31,1
-59,41,-1.41E-31,1.54E-31,1
-59,42,-3.26E-32,3.56E-32,1
-59,43,-7.48E-33,8.15E-33,1
-59,44,-1.70E-33,1.84E-33,1
-59,45,-3.80E-34,4.13E-34,1
-59,46,-8.43E-35,9.15E-35,1
-59,47,-1.85E-35,2.01E-35,1
-59,48,-4.04E-36,4.37E-36,1
-59,49,-8.72E-37,9.44E-37,1
-59,50,-1.87E-37,2.02E-37,1
-59,51,-3.99E-38,4.31E-38,1
-59,52,-8.45E-39,9.11E-39,1
-59,53,-1.78E-39,1.92E-39,1
-59,54,-3.73E-40,4.01E-40,1
-59,55,-7.79E-41,8.37E-41,1
-59,56,-1.62E-41,1.74E-41,1
-59,57,-3.35E-42,3.59E-42,1
-59,58,-6.90E-43,7.39E-43,1
-59,59,-1.42E-43,1.52E-43,1
-59,60,-2.90E-44,3.11E-44,1
-58.5,-60,0.171107935,0,0.828892065
-58.5,-59,0.162346167,0,0.837653833
-58.5,-58,0.15357743,0,0.84642257
-58.5,-57,0.14481358,0,0.85518642
-58.5,-56,0.136068724,0,0.863931276
-58.5,-55,0.127359508,0,0.872640492
-58.5,-54,0.118705404,0,0.881294596
-58.5,-53,0.110128971,0,0.889871029
-58.5,-52,0.101656074,0,0.898343926
-58.5,-51,0.093316022,0,0.906683978
-58.5,-50,0.085141589,0,0.914858411
-58.5,-49,0.077168862,0,0.922831138
-58.5,-48,0.069436871,0,0.930563129
-58.5,-47,0.061986941,0,0.938013059
-58.5,-46,0.054861726,0,0.945138274
-58.5,-45,0.0481039,0,0.9518961
-58.5,-44,0.04175452,0,0.95824548
-58.5,-43,0.035851106,0,0.964148894
-58.5,-42,0.030425566,0,0.969574434
-58.5,-41,0.025502131,0,0.974497869
-58.5,-40,0.021095518,0,0.978904482
-58.5,-39,0.017209555,0,0.982790445
-58.5,-38,0.013836481,0,0.986163519
-58.5,-37,0.010957077,0,0.989042923
-58.5,-36,0.008541657,0,0.991458343
-58.5,-35,0.006551844,0,0.993448156
-58.5,-34,0.004942938,0,0.995057062
-58.5,-33,0.003666591,0,0.996333409
-58.5,-32,0.002673485,0,0.997326515
-58.5,-31,0.001915746,0,0.998084254
-58.5,-30,0.001348874,0,0.998651126
-58.5,-29,0.000933097,0,0.999066903
-58.5,-28,0.000634118,0,0.999365882
-58.5,-27,0.000423337,0,0.999576663
-58.5,-26,0.000277638,0,0.999722362
-58.5,-25,0.000178884,0,0.999821116
-58.5,-24,0.000113241,0,0.999886759
-58.5,-23,7.04E-05,0,0.999929556
-58.5,-22,4.31E-05,0,0.99995693
-58.5,-21,2.59E-05,0,0.999974112
-58.5,-20,1.53E-05,0,0.999984699
-58.5,-19,8.90E-06,0,0.999991103
-58.5,-18,5.09E-06,0,0.99999491
-58.5,-17,2.87E-06,0,0.999997133
-58.5,-16,1.59E-06,0,0.99999841
-58.5,-15,8.68E-07,0,0.999999132
-58.5,-14,4.67E-07,0,0.999999533
-58.5,-13,2.48E-07,0,0.999999752
-58.5,-12,1.30E-07,0,0.99999987
-58.5,-11,6.69E-08,0,0.999999933
-58.5,-10,3.40E-08,0,0.999999966
-58.5,-9,1.71E-08,0,0.999999983
-58.5,-8,8.45E-09,0,0.999999992
-58.5,-7,4.12E-09,0,0.999999996
-58.5,-6,1.99E-09,0,0.999999998
-58.5,-5,9.44E-10,0,0.999999999
-58.5,-4,4.42E-10,0,1
-58.5,-3,2.05E-10,0,1
-58.5,-2,9.33E-11,0,1
-58.5,-1,4.20E-11,0,1
-58.5,1,8.15E-12,0,1
-58.5,2,3.52E-12,0,1
-58.5,3,1.50E-12,0,1
-58.5,4,6.29E-13,0,1
-58.5,5,2.61E-13,0,1
-58.5,6,1.06E-13,0,1
-58.5,7,4.29E-14,0,1
-58.5,8,1.71E-14,0,1
-58.5,9,6.70E-15,0,1
-58.5,10,2.59E-15,0,1
-58.5,11,9.90E-16,0,1
-58.5,12,3.73E-16,0,1
-58.5,13,1.38E-16,0,1
-58.5,14,5.07E-17,0,1
-58.5,15,1.83E-17,0,1
-58.5,16,6.50E-18,0,1
-58.5,17,2.27E-18,0,1
-58.5,18,7.84E-19,0,1
-58.5,19,2.66E-19,0,1
-58.5,20,8.89E-20,0,1
-58.5,21,2.92E-20,0,1
-58.5,22,9.43E-21,0,1
-58.5,23,3.00E-21,0,1
-58.5,24,9.35E-22,0,1
-58.5,25,2.87E-22,0,1
-58.5,26,8.64E-23,0,1
-58.5,27,2.56E-23,0,1
-58.5,28,7.44E-24,0,1
-58.5,29,2.13E-24,0,1
-58.5,30,5.97E-25,0,1
-58.5,31,1.64E-25,0,1
-58.5,32,4.46E-26,0,1
-58.5,33,1.19E-26,0,1
-58.5,34,3.11E-27,0,1
-58.5,35,7.99E-28,0,1
