"name","ncaa_name","reference_name","logos","conference","conference_2","url_conference","primary","secondary","tertiary","quaternary","background","border"
"Purdue Boilermakers","Purdue","Purdue ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/purdue.svg","Big Ten","Big 10","https://sportslogohistory.com/wp-content/uploads/2017/12/big_ten_conference_2012-pres.png","#CEB888","#000000","#9D968D","#373A36","#0088ce","#000000"
"Purdue Fort Wayne Mastodons","Purdue Fort Wayne","Purdue-Fort Wayne","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/ipfw.svg","Horizon","Horizon","https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hl-logo-large-dark.png/250px-Hl-logo-large-dark.png","#002F6C","#000000","#63666A","#97999B","#de7c00","#000000"
"Quinnipiac Bobcats","Quinnipiac","Quinnipiac","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/quinnipiac.svg","MAAC","MAAC","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Metro_Atlantic_Athletic_Conference_logo.svg/200px-Metro_Atlantic_Athletic_Conference_logo.svg.png","#0A2240","#FFB819",NA,NA,"#2d4ca0","#D03C40"
"Radford Highlanders","Radford","Radford","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/radford.svg","Big South","Big South","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Big_South_Conference_Logo_%282017%29.png/800px-Big_South_Conference_Logo_%282017%29.png","#C2011B","#808285",NA,NA,"#0082cc","#ec7422"
"Rhode Island Rams","Rhode Island","Rhode Island","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/rhode-island.svg","Atlantic 10","A-10","https://sportslogohistory.com/wp-content/uploads/2018/03/atlantic__10_conference_2014-pres.png","#68ABE8","#002147",NA,NA,"#cf352a","#000000"
"Rice Owls","Rice","Rice","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/rice.svg","C-USA","C-USA","https://sportslogohistory.com/wp-content/uploads/2018/03/conference_usa_2013-pres.png","#00205B","#C1C6C8",NA,NA,"#003865","#A6192E"
"Richmond Spiders","Richmond","Richmond","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/richmond.svg","Atlantic 10","A-10","https://sportslogohistory.com/wp-content/uploads/2018/03/atlantic__10_conference_2014-pres.png","#000066","#990000",NA,NA,"#cf352a","#000000"
"Rider Broncs","Rider","Rider","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/rider.svg","MAAC","MAAC","https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Metro_Atlantic_Athletic_Conference_logo.svg/200px-Metro_Atlantic_Athletic_Conference_logo.svg.png","#981E32","#6C6F70",NA,NA,"#2d4ca0","#D03C40"
"Robert Morris Colonials","Robert Morris","Robert Morris","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/robert-morris.svg","Horizon","Horizon","https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Hl-logo-large-dark.png/250px-Hl-logo-large-dark.png","#14234B","#A6192E",NA,NA,"#de7c00","#000000"
"Rutgers Scarlet Knights","Rutgers","Rutgers ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/rutgers.svg","Big Ten","Big 10","https://sportslogohistory.com/wp-content/uploads/2017/12/big_ten_conference_2012-pres.png","#CC0033","#5F6A72","#000000",NA,"#0088ce","#000000"
"Sacramento State","Sacramento St.","Sacramento State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/sacramento-st.svg","Big Sky","Big Sky","https://sportslogohistory.com/wp-content/uploads/2019/05/big_sky_conference_2013-pres.png","#043927","#C4B581",NA,NA,"#015dab","#70CEE4"
"Sacred Heart Pioneers","Sacred Heart","Sacred Heart","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/sacred-heart.svg","NEC","NEC","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Northeast_Conference_logo.svg/1200px-Northeast_Conference_logo.svg.png","#CD1041","#ffffff",NA,NA,"#0d67a4","#231f20"
