Home Team,Away Team,Team,Game Date,spread_evanmiya,win_prob_evanmiya,projected_total_evanmiya
Idaho State,Utah Valley,Utah Valley,2025-12-10,-11.9,0.865966343882909,140.283855724665
Houston,Jackson State,Houston,2025-12-10,-38.3,0.999777665817049,138.092812831135
Houston,Jackson State,Jackson State,2025-12-10,38.3,0.000222334182950812,138.092812831135
Jackson State,Houston,Jackson State,2025-12-10,38.3,0.000222334182950812,138.092812831135
Jackson State,Houston,Houston,2025-12-10,-38.3,0.999777665817049,138.092812831135
South Florida,College of Charleston,South Florida,2025-12-10,-16.6,0.929432639492597,157.694860427644
South Florida,College of Charleston,College of Charleston,2025-12-10,16.6,0.0705673605074029,157.694860427644
College of Charleston,South Florida,College of Charleston,2025-12-10,16.6,0.0705673605074029,157.694860427644
College of Charleston,South Florida,South Florida,2025-12-10,-16.6,0.929432639492597,157.694860427644
Saint Bonaventure,Colgate,Saint Bonaventure,2025-12-10,-7.4,0.760452123739703,140.704331890602
Saint Bonaventure,Colgate,Colgate,2025-12-10,7.4,0.239547876260297,140.704331890602
Colgate,Saint Bonaventure,Colgate,2025-12-10,7.4,0.239547876260297,140.704331890602
Colgate,Saint Bonaventure,Saint Bonaventure,2025-12-10,-7.4,0.760452123739703,140.704331890602
UNC Asheville,Miami (OH),UNC Asheville,2025-12-10,2.3,0.417199853826978,153.157958929549
UNC Asheville,Miami (OH),Miami (OH),2025-12-10,-2.3,0.582800146173022,153.157958929549
Miami (OH),UNC Asheville,Miami (OH),2025-12-10,-2.3,0.582800146173022,153.157958929549
Miami (OH),UNC Asheville,UNC Asheville,2025-12-10,2.3,0.417199853826978,153.157958929549
George Washington,Delaware,George Washington,2025-12-10,-20.1,0.965965947496669,157.286798450465
George Washington,Delaware,Delaware,2025-12-10,20.1,0.0340340525033311,157.286798450465
Delaware,George Washington,Delaware,2025-12-10,20.1,0.0340340525033311,157.286798450465
Delaware,George Washington,George Washington,2025-12-10,-20.1,0.965965947496669,157.286798450465
Boston College,Massachusetts,Boston College,2025-12-10,-2.1,0.577542093071976,141.668293543716
Boston College,Massachusetts,Massachusetts,2025-12-10,2.1,0.422457906928024,141.668293543716
Massachusetts,Boston College,Massachusetts,2025-12-10,2.1,0.422457906928024,141.668293543716
Massachusetts,Boston College,Boston College,2025-12-10,-2.1,0.577542093071976,141.668293543716
Yale,Albany,Yale,2025-12-10,-21.1,0.975400295064651,148.102002241474
Yale,Albany,Albany,2025-12-10,21.1,0.0245997049353489,148.102002241474
Albany,Yale,Albany,2025-12-10,21.1,0.0245997049353489,148.102002241474
Albany,Yale,Yale,2025-12-10,-21.1,0.975400295064651,148.102002241474
Southern Illinois,Tennessee-Martin,Southern Illinois,2025-12-10,-7.8,0.765925738359856,144.524685713172
Southern Illinois,Tennessee-Martin,Tennessee-Martin,2025-12-10,7.8,0.234074261640144,144.524685713172
Tennessee-Martin,Southern Illinois,Tennessee-Martin,2025-12-10,7.8,0.234074261640144,144.524685713172
Tennessee-Martin,Southern Illinois,Southern Illinois,2025-12-10,-7.8,0.765925738359856,144.524685713172
Marshall,Western Kentucky,Marshall,2025-12-10,-3.6,0.622466799697171,161.162549925336
Marshall,Western Kentucky,Western Kentucky,2025-12-10,3.6,0.377533200302829,161.162549925336
Western Kentucky,Marshall,Western Kentucky,2025-12-10,3.6,0.377533200302829,161.162549925336
Western Kentucky,Marshall,Marshall,2025-12-10,-3.6,0.622466799697171,161.162549925336
Tulsa,Arkansas-Pine Bluff,Tulsa,2025-12-10,-25.7,0.988124796251984,158.068329210219
Tulsa,Arkansas-Pine Bluff,Arkansas-Pine Bluff,2025-12-10,25.7,0.0118752037480164,158.068329210219
Arkansas-Pine Bluff,Tulsa,Arkansas-Pine Bluff,2025-12-10,25.7,0.0118752037480164,158.068329210219
