Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
UMKC Kangaroos vs. Idaho State Bengals,Dec 03 08:05PM ET,Idaho State Bengals,2,-5.5,-5.5,-5.5,0.5,-5.5,-0.023809523809523836,1.9,-2.8,-6.0,-5.0,-7.2,0.6702036791087749,-225,0.6636481241914617,-0.022104013198917305,0.046,0.62,0.71,0.676759234026088,2,137.75,137.0159668286695,137.5,137.75,2.9,133.0,140.0,137.101933657339,136.93,0.4844431069004852,0.5000014788054651,-0.03936641690903864,-0.023808045004058753,0,0,0,0
Alabama A&M Bulldogs vs. Tennessee St Tigers,Dec 03 08:05PM ET,Tennessee St Tigers,3,-4.5,-1.75,-3.5,0.4679574367889025,-4.5,-0.05585208702062133,2.4,0.2,-3.0,-0.5,-5.0,0.5743229376126567,-192,0.6309403437815975,-0.08321130896268558,0.063,0.49,0.61,0.517705531443716,2,147.5,148.1163158980745,147.5,147.5,5.1,155.0,143.0,146.582631796149,149.64999999999998,0.5,0.5,-0.023809523809523836,-0.030516431924882625,0,1,0,0
Weber State Wildcats vs. Oral Roberts Golden Eagles,Dec 03 09:00PM ET,Weber State Wildcats,3,-7.5,-7.35,-7.5,0.5,-7.5,-0.023809523809523836,1.0,-7.7,-7.0,-8.6,-6.2,0.7543985071647306,-357,0.7487970143294612,-0.027015730771246527,0.02,0.76,0.74,0.779949682680505,2,158.0,156.575,157.5,158.0,1.5,157.0,159.0,155.558826145004,156.15,0.4844431069004852,0.5000014788054651,-0.03936641690903864,-0.023808045004058753,0,0,0,0
Denver Pioneers vs. Eastern Washington Eagles,Dec 03 09:00PM ET,Eastern Washington Eagles,3,1.5,2.35,2.0,0.4839657729027816,1.5,-0.040974844674415534,1.5,1.8,2.0,2.7,5.1,0.4541304347826087,-100,0.4782608695652174,-0.04586956521739127,0.014,0.43,0.43,0.405236996423483,1,154.5,157.42108027544901,155.5,154.5,1.5,158.0,160.0,156.842160550898,156.68,0.5170982144352251,0.4829017855647749,-0.006711309374298757,-0.040907738244748915,1,1,1,0
Denver Pioneers vs. Eastern Washington Eagles,Dec 03 09:00PM ET,Denver Pioneers,3,-1.5,-2.35,-2.0,0.5160342270972185,-1.5,-0.0077752967123053685,1.5,-1.8,-2.0,-2.7,-5.1,0.5458695652173913,-120,0.5217391304347826,0.0004150197628458585,0.014,0.57,0.57,0.594763003576517,1,154.5,157.42108027544901,155.5,154.5,1.5,158.0,160.0,156.842160550898,156.68,0.5170982144352251,0.4829017855647749,-0.006711309374298757,-0.040907738244748915,1,1,1,0
Air Force Falcons vs. Pacific Tigers,Dec 03 09:00PM ET,Pacific Tigers,1,-5.5,-7.25,-6.0,0.5173678180739623,-5.5,-0.006441705735561576,1.0,-5.6,-7.0,-8.0,-7.5,0.7099508800654932,-242,0.6799017601309866,0.0019372398267889501,0.024,0.73,0.74,0.775950802262511,2,135.0,132.5,134.0,135.0,1.1,132.0,133.0,134.14903480449,131.76,0.4766713132888294,0.5077821418769288,-0.047138210520694446,-0.01602738193259501,1,1,0,1
Idaho Vandals vs. North Dakota Fighting Hawks,Dec 03 09:00PM ET,North Dakota Fighting Hawks,3,10.5,10.1,10.5,0.5,10.5,-0.023809523809523836,2.3,13.4,8.0,9.2,11.0,0.19048716558142603,438,0.17824012721971905,0.0045724513648250364,0.066,0.12,0.25,0.202734203943133,3,151.5,148.5,150.5,151.5,2.0,149.0,148.0,149.795599109409,145.31,0.4849567874384211,0.5150432125615789,-0.03885273637110276,-0.008766311247944913,0,0,0,1
Montana Grizzlies vs. North Dakota St Bison,Dec 03 09:00PM ET,North Dakota St Bison,3,3.5,2.9,3.5,0.5,3.5,-0.023809523809523836,0.9,3.8,3.0,1.7,2.8,0.39737976264834474,150,0.3847595252966895,-0.0026202373516552857,0.045,0.35,0.41,0.438229234304316,2,152.25,149.945,151.5,152.25,2.6,146.0,151.0,151.8118315324,148.89,0.4844431069004852,0.5000014788054651,-0.03936641690903864,-0.023808045004058753,0,0,0,1
Montana Grizzlies vs. North Dakota St Bison,Dec 03 09:00PM ET,Montana Grizzlies,3,-3.5,-2.9,-3.5,0.5,-3.5,-0.023809523809523836,0.9,-3.8,-3.0,-1.7,-2.8,0.6026202373516552,-177,0.6152404747033104,-0.03699015225873459,0.045,0.65,0.59,0.561770765695684,2,152.25,149.945,151.5,152.25,2.6,146.0,151.0,151.8118315324,148.89,0.4844431069004852,0.5000014788054651,-0.03936641690903864,-0.023808045004058753,0,0,0,1
Montana St Bobcats vs. St. Thomas (MN) Tommies,Dec 03 09:00PM ET,Montana St Bobcats,3,-2.5,-3.6500000000000004,-3.0,0.5160342270972185,-2.5,-0.005496873381250378,1.0,-1.8,-4.0,-3.7,-3.6,0.5954392119303731,-141,0.560878423860746,0.009533862136134386,0.036,0.57,0.63,0.635229560910539,1,147.0,143.835,145.5,147.0,0.3,144.0,144.0,143.489443807782,143.67000000000002,0.4658290826658605,0.5171040958885084,-0.05798044114366335,-0.006705427921015472,0,1,0,1
