Game,Game Time,Opening Odds Time,Team,total_category,market_spread,Consensus Spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Current Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Georgia Southern Eagles vs. Old Dominion Monarchs,Jan 15 07:00PM ET,2026-01-14 20:51:32 UTC,Old Dominion Monarchs,3,6.5,6.5,5.3,6.0,0.5160342270972185,5.5,-0.0241956579602528,-0.0327102803738317,1.2,6.7,4.0,4.8,5.8,0.3139491267438029,195.0,220,0.2993204616546219,0.0014491267438029,-0.0114241062938484,0.045,0.28,0.37,0.328577791832984,2,162.5,160.113989295048,161.5,162.5,162.5,2.1,162.0,160.0,160.227978590096,156.93,0.4844445857059503,0.5155554142940497,-0.031293913083396,-0.0160605107644983,-0.0426629068827225,-0.0044159359987295,0,0,0,1
Northeastern Huskies vs. Elon Phoenix,Jan 15 07:00PM ET,2026-01-14 21:05:10 UTC,Northeastern Huskies,3,2.5,2.5,1.55,2.0,0.5160342270972185,3.5,-0.002038062059408,-0.018849493833014,1.1,2.0,2.0,-0.3,1.1,0.4249793738928124,124.0,129,0.4199587477856248,-0.0117101760690487,-0.0164019716100563,0.047,0.43,0.43,0.510677297902758,1,157.5,165.095,160.5,162.5,157.5,3.5,168.0,164.0,159.904690950584,166.19,0.5511692441577363,0.4488307558422637,0.0273597203482124,-0.0749787679672601,-0.0021325547955441,-0.0454001012276779,1,1,1,0
Georgia Southern Eagles vs. Old Dominion Monarchs,Jan 15 07:00PM ET,2026-01-14 20:51:32 UTC,Georgia Southern Eagles,3,-6.5,-6.5,-5.3,-6.0,0.4839657729027816,-5.5,-0.024633735696727,-0.0145631067961164,1.2,-6.7,-4.0,-4.8,-5.8,0.686050873256197,-238.0,-272,0.700679538345378,-0.0454806582753345,-0.0297462681842949,0.045,0.72,0.63,0.671422208167016,2,162.5,160.113989295048,161.5,162.5,162.5,2.1,162.0,160.0,160.227978590096,156.93,0.4844445857059503,0.5155554142940497,-0.031293913083396,-0.0160605107644983,-0.0426629068827225,-0.0044159359987295,0,0,0,1
North Alabama Lions vs. North Florida Ospreys,Jan 15 07:00PM ET,2026-01-15 01:54:26 UTC,North Florida Ospreys,3,9.5,9.5,8.25,9.0,0.5160342270972185,9.5,-0.0077752967123053,-0.018849493833014,1.0,6.8,8.0,8.5,9.1,0.2154380780950109,340.0,375,0.2008761561900217,0.0048884327049399,-0.0035770750988142,0.03,0.27,0.23,0.210676123709629,2,157.5,156.915,157.5,158.5,157.5,0.6,157.0,158.0,156.573608511637,156.82999999999998,0.5,0.5,-0.0238095238095238,-0.0238095238095238,-0.0315887097620138,-0.0160303378570338,1,1,0,0
Stetson Hatters vs. West Georgia Wolves,Jan 15 07:00PM ET,2026-01-15 01:54:26 UTC,Stetson Hatters,3,2.5,2.5,-1.6,1.0,0.547999242711806,1.5,0.0141997089122721,0.0128117939803281,1.6,-2.6,-1.0,-2.2,0.9,0.5077580795424542,-102.0,120,0.4347446656873154,0.0532126249969996,0.0280955440062824,0.042,0.6,0.52,0.580771493397593,1,152.5,149.761368487434,151.5,152.5,152.5,1.2,149.0,151.0,150.522736974868,148.45,0.4829017855647749,0.5170982144352251,-0.0409077382447489,-0.0067113093742987,-0.0519819353654575,0.0049030924840055,0,1,0,1
Wright St Raiders vs. Youngstown St Penguins,Jan 15 07:00PM ET,2026-01-14 21:05:10 UTC,Youngstown St Penguins,2,4.5,4.5,6.95,5.5,0.4663268053956411,6.5,-0.0494116933937052,-0.0348837209302325,1.1,8.8,7.0,6.3,6.9,0.2972109878310666,230.0,187,0.3344219756621331,-0.0506414017636097,-0.0265420094463249,0.044,0.1899999999999999,0.26,0.270015764667958,2,142.5,139.71,141.5,142.5,142.5,2.8,137.0,139.0,143.742263281896,140.42000000000002,0.4844445857059503,0.5155554142940497,-0.0393649381035735,-0.0082541095154741,-0.0393649381035735,-0.0082541095154741,1,1,0,0
William & Mary Tribe vs. North Carolina A&T Aggies,Jan 15 07:00PM ET,2026-01-14 21:24:42 UTC,North Carolina A&T Aggies,3,14.5,14.5,14.15,14.5,0.5,11.5,-0.0348837209302325,-0.0509179480274509,2.6,18.6,14.0,12.5,14.3,0.1017423307601802,550.0,745,0.1134846615203604,-0.016605008175394,-0.0354666185832105,0.027,0.0799999999999999,0.09,0.130555840331845,3,162.5,159.727917478943,161.5,160.5,162.5,1.3,161.0,158.0,160.265834957886,159.19,0.4849567874384211,0.5150432125615789,-0.0365743130400477,-0.0110231381493215,-0.0238095238095238,-0.0238095238095238,0,0,0,1
William & Mary Tribe vs. North Carolina A&T Aggies,Jan 15 07:00PM ET,2026-01-14 21:24:42 UTC,William & Mary Tribe,3,-14.5,-14.5,-14.15,-14.5,0.5,-11.5,-0.0121951219512195,0.0038391051459989,2.6,-18.6,-14.0,-12.5,-14.3,0.8982576692398199,-800.0,-1225,0.8865153384796396,-0.0262437552616046,-0.0128239797073876,0.027,0.92,0.91,0.869444159668155,3,162.5,159.727917478943,161.5,160.5,162.5,1.3,161.0,158.0,160.265834957886,159.19,0.4849567874384211,0.5150432125615789,-0.0365743130400477,-0.0110231381493215,-0.0238095238095238,-0.0238095238095238,0,0,0,1
Stetson Hatters vs. West Georgia Wolves,Jan 15 07:00PM ET,2026-01-15 01:54:26 UTC,West Georgia Wolves,3,-2.5,-2.5,1.6,-1.0,0.452000757288194,-1.5,-0.0613812378456259,-0.0603444500035503,1.6,2.6,1.0,2.2,-0.9,0.4922419204575458,-118.0,-144,0.5652553343126846,-0.0987584141025077,-0.0743304427255122,0.042,0.4,0.48,0.419228506602407,1,152.5,149.761368487434,151.5,152.5,152.5,1.2,149.0,151.0,150.522736974868,148.45,0.4829017855647749,0.5170982144352251,-0.0409077382447489,-0.0067113093742987,-0.0519819353654575,0.0049030924840055,0,1,0,1
Stony Brook Seawolves vs. Hofstra Pride,Jan 15 07:00PM ET,2026-01-14 20:51:32 UTC,Hofstra Pride,1,-6.5,-6.5,-7.35,-7.0,0.5173678180739623,-7.5,-0.0064417057355615,-0.0175159028562702,2.4,-6.7,-8.0,-5.0,-10.8,0.7398895479648189,-325.0,-300,0.7197790959296378,-0.0101104520351811,-0.0235932411498905,0.051,0.76,0.79,0.690985289207335,2,136.0,134.6537810645905,135.5,134.5,136.0,1.0,135.0,136.0,134.307562129181,133.64,0.4844431069004852,0.5000014788054651,-0.0336291822561413,-0.0294102859004172,-0.0348837209302325,-0.0121951219512195,0,0,0,0
