Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Utah Valley Wolverines vs. Idaho State Bengals,Dec 10 08:00PM ET,Utah Valley Wolverines,2,-11.5,-11.45,-11.5,0.5,-10.75,-0.023809523809523836,1.8,-13.2,-11.0,-11.9,-9.0,0.856898693515103,-685,0.8470894874022589,-0.029464942848533404,0.015,0.88,0.85,0.866707899627947,3,142.0,140.015273157463,141.0,142.0,142.0,1.3,138.0,141.0,140.250546314926,139.78,0.4774391920548072,0.5075256171779651,-0.04637033175471661,-0.016283906631558764,0,1,0,1
Texas State Bobcats vs. Southern Jaguars,Dec 10 08:30PM ET,Southern Jaguars,2,2.5,3.5,3.0,0.4831483753809493,2.5,-0.040661148428574545,1.5,2.9,1.0,4.3,4.1,0.4011801242236025,127,0.42236024844720504,-0.04326432022084192,0.058,0.38,0.46,0.347662765471649,1,139.5,141.035,140.0,137.5,139.5,1.7,141.0,141.0,144.497944839276,141.07,0.5085510713084638,0.4914489286915363,-0.01525845250106006,-0.032360595117987556,0,0,1,0
Texas State Bobcats vs. Southern Jaguars,Dec 10 08:30PM ET,Texas State Bobcats,2,-2.5,-3.5,-3.0,0.5168516246190507,-2.5,-0.006957899190473182,1.5,-2.9,-1.0,-4.3,-4.1,0.5988198757763976,-153,0.5776397515527951,-0.009023261478504296,0.058,0.62,0.54,0.652337234528351,1,139.5,141.035,140.0,137.5,139.5,1.7,141.0,141.0,144.497944839276,141.07,0.5085510713084638,0.4914489286915363,-0.01525845250106006,-0.032360595117987556,0,0,1,0
Boise State Broncos vs. Duquesne Dukes,Dec 10 09:00PM ET,Duquesne Dukes,3,14.5,12.75,14.0,0.5160342270972185,13.5,-0.0077752967123053685,2.1,12.5,13.0,11.1,16.1,0.12454545454545454,800,0.10909090909090909,0.01025974025974026,0.018,0.14,0.12,0.155942459315397,3,150.75,147.82399089952798,149.5,150.0,150.75,1.8,150.0,147.0,148.647981799056,145.92000000000002,0.4699309502034306,0.5150472191818924,-0.053878573606093216,-0.00876230462763139,0,1,0,1
Boise State Broncos vs. Duquesne Dukes,Dec 10 09:00PM ET,Boise State Broncos,3,-14.5,-12.75,-14.0,0.4839657729027816,-13.5,-0.03984375090674225,2.1,-12.5,-13.0,-11.1,-16.1,0.8754545454545455,-1300,0.8909090909090909,-0.05787878787878786,0.018,0.86,0.88,0.844057540684603,3,150.75,147.82399089952798,149.5,150.0,150.75,1.8,150.0,147.0,148.647981799056,145.92000000000002,0.4699309502034306,0.5150472191818924,-0.053878573606093216,-0.00876230462763139,0,1,0,1
Nebraska Cornhuskers vs. Wisconsin Badgers,Dec 10 09:00PM ET,Wisconsin Badgers,3,-0.5,3.4,1.0,0.452000757288194,-1.5,-0.060194364663025524,1.7,3.3,1.0,3.5,5.0,0.441067463706234,-119,0.502134927412468,-0.08723442308621882,0.053,0.38,0.47,0.375169508980875,1,156.5,155.8409745000495,156.0,160.0,156.5,3.1,157.0,159.0,154.681949000099,151.76999999999998,0.4914489286915362,0.5085510713084638,-0.024289570097810076,-0.024159209065367948,1,1,0,0
Nebraska Cornhuskers vs. Wisconsin Badgers,Dec 10 09:00PM ET,Nebraska Cornhuskers,3,0.5,-3.4,-1.0,0.547999242711806,1.5,0.013115521781573491,1.7,-3.3,-1.0,-3.5,-5.0,0.558932536293766,-101,0.49786507258753204,0.03512301248424221,0.053,0.62,0.53,0.624830491019125,1,156.5,155.8409745000495,156.0,160.0,156.5,3.1,157.0,159.0,154.681949000099,151.76999999999998,0.4914489286915362,0.5085510713084638,-0.024289570097810076,-0.024159209065367948,1,1,0,0
CSU Northridge Matadors vs. Fresno St Bulldogs,Dec 10 10:00PM ET,Fresno St Bulldogs,3,2.0,-0.25,1.0,0.5320425632110974,2.0,0.008233039401573605,1.3,1.2,-2.0,-0.1,-0.4,0.473835543051999,115,0.44362292051756,0.008719263982231551,0.061,0.4599999999999999,0.58,0.504048165586438,1,158.25,155.49528207890899,157.0,155.0,158.25,1.5,155.0,154.0,155.990564157818,157.45,0.4743585679133448,0.508554996783795,-0.04945095589617904,-0.015254527025728826,0,1,0,1
CSU Northridge Matadors vs. Fresno St Bulldogs,Dec 10 10:00PM ET,CSU Northridge Matadors,3,-2.0,0.25,-1.0,0.4679574367889025,-2.0,-0.05585208702062133,1.3,-1.2,2.0,0.1,0.4,0.526164456948001,-140,0.5563770794824399,-0.05716887638533241,0.061,0.54,0.42,0.495951834413562,1,158.25,155.49528207890899,157.0,155.0,158.25,1.5,155.0,154.0,155.990564157818,157.45,0.4743585679133448,0.508554996783795,-0.04945095589617904,-0.015254527025728826,0,1,0,1
San Diego St Aztecs vs. Lamar Cardinals,Dec 10 10:00PM ET,Lamar Cardinals,1,19.5,18.05,19.0,0.5173678180739623,19.5,-0.006441705735561576,2.0,15.8,19.0,17.1,20.3,0.06031137848305085,1448,0.06396255850234009,-0.006355288183615818,0.016,0.0799999999999999,0.05,0.0566601984637616,3,137.0,136.137163099378,136.5,136.5,137.0,1.7,134.0,137.0,135.274326198756,137.84,0.4849554499972073,0.5000013374412138,-0.038854073812316536,-0.023808186368310058,0,0,0,0
San Diego St Aztecs vs. Lamar Cardinals,Dec 10 10:00PM ET,San Diego St Aztecs,1,-19.5,-18.05,-19.0,0.4826321819260377,-19.5,-0.04117734188348615,2.0,-15.8,-19.0,-17.1,-20.3,0.9396886215169489,-4000,0.9360374414976599,-0.03592113458061208,0.016,0.92,0.95,0.943339801536238,3,137.0,136.137163099378,136.5,136.5,137.0,1.7,134.0,137.0,135.274326198756,137.84,0.4849554499972073,0.5000013374412138,-0.038854073812316536,-0.023808186368310058,0,0,0,0
Baylor Bears vs. Norfolk St Spartans,Dec 10 12:00PM ET,Baylor Bears,3,-26.5,-19.9,-24.0,0.420344059833398,-24.5,-0.10346546397612583,1.5,-21.3,-20.0,-17.7,-19.8,0.9592585916846912,-10000,0.9685171833693823,-0.03310782052904926,0.012,0.95,0.97,0.949518166687248,3,149.5,144.5,147.5,145.5,149.5,2.0,143.0,146.0,146.90249704395,142.93,0.4699349568237442,0.5300650431762558,-0.05159614365472465,0.006255519366731965,1,0,0,1
Baylor Bears vs. Norfolk St Spartans,Dec 10 12:00PM ET,Norfolk St Spartans,3,26.5,19.9,24.0,0.5796559401666019,24.5,0.0558464163570781,1.5,21.3,20.0,17.7,19.8,0.040741408315308814,2800,0.03148281663061763,0.00848334379917979,0.012,0.05,0.03,0.0504818333127525,3,149.5,144.5,147.5,145.5,149.5,2.0,143.0,146.0,146.90249704395,142.93,0.4699349568237442,0.5300650431762558,-0.05159614365472465,0.006255519366731965,1,0,0,1
