Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Weber State Wildcats vs. UMKC Kangaroos,Nov 29 04:00PM ET,Weber State Wildcats,3,-11.0,-10.15,-10.5,0.4839657729027816,-11.0,-0.03984375090674225,1.3,-7.6,-10.0,-10.4,-10.3,0.813698998524817,-588,0.8173979970496339,-0.040884773867174595,0.027,0.77,0.81,0.821999133888456,3,153.0,148.144119194827,151.0,153.0,4.5,144.0,154.0,150.528238389654,145.76,0.4624333836521225,0.5225634700046342,-0.06137614015740134,-0.007952961920248414,1,0,0,0
Mt. St. Mary's Mountaineers vs. Howard Bison,Nov 29 04:00PM ET,Howard Bison,2,3.0,5.25,4.0,0.4663268053956411,3.0,-0.05748271841388275,2.9,7.6,7.0,3.5,1.6,0.34071020213707204,132,0.41142040427414406,-0.08944705965756256,0.074,0.2299999999999999,0.27,0.374220543985127,2,145.5,144.26,145.0,145.5,1.8,144.0,143.0,147.252625817403,144.51999999999998,0.49222081404751,0.5077791859524899,-0.031588709762013834,-0.016030337857033894,0,1,0,0
Utah State Aggies vs. Montana St Bobcats,Nov 29 04:00PM ET,Montana St Bobcats,3,19.0,18.3,18.5,0.5160342270972185,19.25,-0.0077752967123053685,0.3,18.7,18.0,18.1,18.5,0.056367361290841925,1448,0.06200881143237744,-0.008215972042491401,0.011,0.0699999999999999,0.05,0.0507259111493064,3,148.5,149.50563641668,149.0,148.5,1.3,151.0,150.0,149.01127283336,147.85000000000002,0.5075229437220032,0.4924770562779967,-0.016286580087520597,-0.03582483051445612,1,0,0,0
Winthrop Eagles vs. South Carolina St Bulldogs,Nov 29 04:00PM ET,Winthrop Eagles,3,-20.5,-21.05,-20.5,0.5,-20.5,-0.023809523809523836,3.4,-19.8,-20.0,-22.1,-27.2,0.9499940890581899,-3082,0.9299881781163798,-0.018580019759821376,0.023,0.93,0.97,0.970951729932974,3,159.5,158.45499999999998,159.0,159.5,2.3,156.0,160.0,160.650135056368,156.91,0.4924770562779967,0.5075229437220032,-0.03133246753152713,-0.016286580087520597,0,1,0,0
Elon Phoenix vs. Mercer Bears,Nov 29 04:00PM ET,Mercer Bears,3,1.5,3.9,2.5,0.4679574367889025,1.5,-0.05585208702062133,1.8,4.8,1.0,4.6,3.2,0.3977903220790883,110,0.45401629802095467,-0.07840015411138784,0.06,0.3299999999999999,0.4399999999999999,0.341564346137222,1,162.0,160.056508606612,161.0,162.0,2.9,157.0,161.0,159.113017213224,163.70999999999998,0.4743585679133448,0.508554996783795,-0.046025125132218736,-0.02085676792208735,0,1,0,0
Winthrop Eagles vs. South Carolina St Bulldogs,Nov 29 04:00PM ET,South Carolina St Bulldogs,3,20.5,21.05,20.5,0.5,20.5,-0.023809523809523836,3.4,19.8,20.0,22.1,27.2,0.050005910941810054,1271,0.07001182188362011,-0.022910755724856603,0.023,0.0699999999999999,0.03,0.0290482700670257,3,159.5,158.45499999999998,159.0,159.5,2.3,156.0,160.0,160.650135056368,156.91,0.4924770562779967,0.5075229437220032,-0.03133246753152713,-0.016286580087520597,0,1,0,0
Utah State Aggies vs. Montana St Bobcats,Nov 29 04:00PM ET,Utah State Aggies,3,-19.0,-18.3,-18.5,0.4839657729027816,-19.25,-0.03984375090674225,0.3,-18.7,-18.0,-18.1,-18.5,0.9436326387091583,-4236,0.9379911885676224,-0.03330267412223087,0.011,0.93,0.95,0.949274088850694,3,148.5,149.50563641668,149.0,148.5,1.3,151.0,150.0,149.01127283336,147.85000000000002,0.5075229437220032,0.4924770562779967,-0.016286580087520597,-0.03582483051445612,1,0,0,0
Arizona Wildcats vs. Norfolk St Spartans,Nov 29 04:00PM ET,Norfolk St Spartans,2,34.5,28.05,32.0,0.5836603939061297,34.5,0.059850870096605835,0.7,29.1,28.0,27.4,28.1,,,0.0,0.0,0.007,0.02,0.01,0.0071783756556045,3,145.5,144.0,145.0,145.5,1.2,144.0,144.0,146.247870195936,143.61,0.4924770562779967,0.5075229437220032,-0.03133246753152713,-0.016286580087520597,1,1,0,0
East Tennessee St Buccaneers vs. Central Arkansas Bears,Nov 29 04:00PM ET,East Tennessee St Buccaneers,2,-11.0,-15.2,-12.5,0.5504348160326231,-11.0,0.026625292223099284,1.7,-12.9,-15.0,-17.0,-15.4,0.8565167400709358,-562,0.8130334801418716,0.007513891068086864,0.035,0.87,0.9,0.940064233654451,3,144.5,144.5300958071765,144.5,144.5,3.5,145.0,149.0,144.060191614353,140.60000000000002,0.5,0.5,-0.023809523809523836,-0.023809523809523836,1,1,0,0
Arizona Wildcats vs. Norfolk St Spartans,Nov 29 04:00PM ET,Arizona Wildcats,2,-34.5,-28.05,-32.0,0.4163396060938703,-34.5,-0.10746991771565356,0.7,-29.1,-28.0,-27.4,-28.1,,,0.0,0.0,0.007,0.98,0.99,0.992821624344395,3,145.5,144.0,145.0,145.5,1.2,144.0,144.0,146.247870195936,143.61,0.4924770562779967,0.5075229437220032,-0.03133246753152713,-0.016286580087520597,1,1,0,0
